[12:58:33] [INFO] received Windows console close event; shutting log-core down
[12:59:54] [INFO] received Windows console close event; shutting log-core down
[13:00:53] [INFO] received Windows console close event; shutting log-core down
[13:03:54] [INFO] received Windows console close event; shutting log-core down
[13:05:15] [INFO] received Windows console close event; shutting log-core down
[13:10:35] [INFO] received Windows console close event; shutting log-core down
[14:39:54] [INFO] received Windows console close event; shutting log-core down
[14:46:23] [INFO] received Windows console close event; shutting log-core down
[15:33:19] [INFO] received Windows console close event; shutting log-core down
[15:34:13] [INFO] received Windows console close event; shutting log-core down
[15:36:10] [INFO] received Windows console close event; shutting log-core down
[15:36:56] [INFO] received Windows console close event; shutting log-core down
[15:47:16] [INFO] received Windows console close event; shutting log-core down
[15:50:30] [INFO] received Windows console close event; shutting log-core down
[15:58:48] [INFO] received Windows console close event; shutting log-core down
[15:59:24] [INFO] received Windows console close event; shutting log-core down
[16:00:58] [INFO] received Windows console close event; shutting log-core down
[16:01:23] [INFO] received Windows console close event; shutting log-core down
[16:02:50] [INFO] received Windows console close event; shutting log-core down
[16:05:36] [INFO] received Windows console close event; shutting log-core down
[16:06:33] [INFO] received Windows console close event; shutting log-core down
[16:07:02] [INFO] received Windows console close event; shutting log-core down
[16:28:30] [INFO] received Windows console close event; shutting log-core down
[16:29:41] [INFO] received Windows console close event; shutting log-core down
[16:32:04] [INFO] received Windows console close event; shutting log-core down
[16:32:48] [INFO] received Windows console close event; shutting log-core down
[16:33:58] [INFO] received Windows console close event; shutting log-core down
[16:38:09] [INFO] received Windows console close event; shutting log-core down
[16:38:48] [INFO] received Windows console close event; shutting log-core down
[16:39:43] [INFO] received Windows console close event; shutting log-core down
[16:40:43] [INFO] received Windows console close event; shutting log-core down
[16:42:46] [INFO] received Windows console close event; shutting log-core down
[16:43:45] [INFO] received Windows console close event; shutting log-core down
[16:46:17] [INFO] received Windows console close event; shutting log-core down
[16:48:03] [INFO] received Windows console close event; shutting log-core down
[16:55:41] [INFO] received Windows console close event; shutting log-core down
[16:57:30] [INFO] received Windows console close event; shutting log-core down
[17:05:21] [INFO] received Windows console close event; shutting log-core down
[17:06:23] [INFO] received Windows console close event; shutting log-core down
[17:09:36] [INFO] received Windows console close event; shutting log-core down
[17:10:27] [INFO] received Windows console close event; shutting log-core down
[17:13:24] [INFO] received Windows console close event; shutting log-core down
[17:16:29] [INFO] received Windows console close event; shutting log-core down
[17:27:39] [INFO] received Windows console close event; shutting log-core down
[17:53:41] [INFO] received Windows console close event; shutting log-core down
[18:21:16] [INFO] received Windows console close event; shutting log-core down
[18:25:57] [INFO] received Windows console close event; shutting log-core down
[18:26:58] [INFO] received Windows console close event; shutting log-core down
[18:33:53] [INFO] received Windows console close event; shutting log-core down
[18:34:26] [INFO] received Windows console close event; shutting log-core down
[18:35:00] [INFO] received Windows console close event; shutting log-core down
[18:35:33] [INFO] received Windows console close event; shutting log-core down
[18:36:15] [INFO] received Windows console close event; shutting log-core down
[18:36:45] [INFO] received Windows console close event; shutting log-core down
[18:38:01] [INFO] received Windows console close event; shutting log-core down
[18:38:01] [INFO] received Windows console close event; shutting log-core down
[18:39:02] [INFO] received Windows console close event; shutting log-core down
[19:05:36] [INFO] received Windows console close event; shutting log-core down
[19:07:28] [INFO] received Windows console close event; shutting log-core down
[19:08:04] [INFO] received Windows console close event; shutting log-core down
[19:08:24] [INFO] received Windows console close event; shutting log-core down
[19:08:53] [INFO] received Windows console close event; shutting log-core down
[19:10:07] [INFO] received Windows console close event; shutting log-core down
[19:11:26] [INFO] received Windows console close event; shutting log-core down
[19:26:09] [INFO] received Windows console close event; shutting log-core down
[19:26:51] [INFO] received Windows console close event; shutting log-core down
[19:27:16] [INFO] received Windows console close event; shutting log-core down
[19:28:09] [INFO] received Windows console close event; shutting log-core down
[19:28:29] [INFO] received Windows console close event; shutting log-core down
[19:29:09] [INFO] received Windows console close event; shutting log-core down
[19:30:20] [INFO] received Windows console close event; shutting log-core down
[19:30:52] [INFO] received Windows console close event; shutting log-core down
[19:31:40] [INFO] received Windows console close event; shutting log-core down
[19:32:46] [INFO] received Windows console close event; shutting log-core down
[19:33:14] [INFO] received Windows console close event; shutting log-core down
[19:33:37] [INFO] received Windows console close event; shutting log-core down
[19:34:39] [INFO] received Windows console close event; shutting log-core down
[21:19:28] [INFO] received Windows console close event; shutting log-core down
[21:22:06] [INFO] received Windows console close event; shutting log-core down
[21:25:37] [INFO] received Windows console close event; shutting log-core down
[21:30:23] [INFO] received Windows console close event; shutting log-core down
[21:30:50] [INFO] received Windows console close event; shutting log-core down
[21:32:00] [INFO] received Windows console close event; shutting log-core down
[21:36:21] [INFO] received Windows console close event; shutting log-core down
[21:37:37] [INFO] received Windows console close event; shutting log-core down
[21:50:38] [INFO] received Windows console close event; shutting log-core down
[21:53:17] [INFO] received Windows console close event; shutting log-core down
[21:55:10] [INFO] received Windows console close event; shutting log-core down
[21:58:36] [INFO] received Windows console close event; shutting log-core down
[22:04:59] [INFO] received Windows console close event; shutting log-core down
[22:25:58] [INFO] received Windows console close event; shutting log-core down
[22:28:10] [INFO] received Windows console close event; shutting log-core down
[22:31:11] [INFO] received Windows console close event; shutting log-core down
[22:33:03] [INFO] received Windows console close event; shutting log-core down
[22:35:05] [INFO] received Windows console close event; shutting log-core down
[23:08:34] [INFO] received Windows console close event; shutting log-core down
[23:13:17] [INFO] received Windows console close event; shutting log-core down
[23:15:39] [INFO] received Windows console close event; shutting log-core down
[23:18:43] [INFO] received Windows console close event; shutting log-core down
[23:20:08] [INFO] received Windows console close event; shutting log-core down
[23:24:32] [INFO] received Windows console close event; shutting log-core down
[23:26:10] [INFO] received Windows console close event; shutting log-core down
[23:29:29] [INFO] received Windows console close event; shutting log-core down
[23:32:13] [INFO] received Windows console close event; shutting log-core down
[23:35:31] [INFO] received Windows console close event; shutting log-core down
[23:36:50] [INFO] received Windows console close event; shutting log-core down
[23:37:53] [INFO] received Windows console close event; shutting log-core down
[23:39:53] [INFO] received Windows console close event; shutting log-core down
[23:42:50] [INFO] received Windows console close event; shutting log-core down
[23:46:18] [INFO] received Windows console close event; shutting log-core down
[23:47:01] [INFO] received Windows console close event; shutting log-core down
[23:47:58] [INFO] received Windows console close event; shutting log-core down
[23:51:32] [INFO] received Windows console close event; shutting log-core down
[23:52:30] [INFO] received Windows console close event; shutting log-core down
[23:53:49] [INFO] received Windows console close event; shutting log-core down
[23:55:05] [INFO] received Windows console close event; shutting log-core down
[23:56:41] [INFO] received Windows console close event; shutting log-core down
[23:58:20] [INFO] received Windows console close event; shutting log-core down
[23:58:46] [INFO] received Windows console close event; shutting log-core down
[00:00:07] [INFO] received Windows console close event; shutting log-core down
[09:00:04] [INFO] received Windows console close event; shutting log-core down
[09:10:25] [INFO] received Windows console close event; shutting log-core down
[09:15:08] [INFO] received Windows console close event; shutting log-core down
[10:13:24] [INFO] received Windows console close event; shutting log-core down
[10:14:11] [INFO] received Windows console close event; shutting log-core down
[10:14:32] [INFO] received Windows console close event; shutting log-core down
[10:25:54] [INFO] received Windows console close event; shutting log-core down
[10:27:02] [INFO] received Windows console close event; shutting log-core down
[10:28:53] [INFO] received Windows console close event; shutting log-core down
[10:35:24] [INFO] received Windows console close event; shutting log-core down
[10:36:34] [INFO] received Windows console close event; shutting log-core down
[10:38:23] [INFO] received Windows console close event; shutting log-core down
[10:39:59] [INFO] received Windows console close event; shutting log-core down
[10:41:19] [INFO] received Windows console close event; shutting log-core down
[10:42:54] [INFO] received Windows console close event; shutting log-core down
[10:45:11] [INFO] received Windows console close event; shutting log-core down
[10:46:12] [INFO] received Windows console close event; shutting log-core down
[10:47:54] [INFO] received Windows console close event; shutting log-core down
[10:50:12] [INFO] received Windows console close event; shutting log-core down
[10:50:26] [INFO] received Windows console close event; shutting log-core down
[10:53:50] [INFO] received Windows console close event; shutting log-core down
[10:55:37] [INFO] received Windows console close event; shutting log-core down
[10:57:12] [INFO] received Windows console close event; shutting log-core down
[11:00:15] [INFO] received Windows console close event; shutting log-core down
[11:02:46] [INFO] received Windows console close event; shutting log-core down
[11:04:00] [INFO] received Windows console close event; shutting log-core down
[11:04:50] [INFO] received Windows console close event; shutting log-core down
[11:11:13] [INFO] received Windows console close event; shutting log-core down
[11:14:54] [INFO] received Windows console close event; shutting log-core down
[11:17:03] [INFO] received Windows console close event; shutting log-core down
[11:32:11] [INFO] received Windows console close event; shutting log-core down
[11:36:01] [INFO] received Windows console close event; shutting log-core down
[11:39:24] [INFO] received Windows console close event; shutting log-core down
[11:40:27] [INFO] received Windows console close event; shutting log-core down
[11:41:45] [INFO] received Windows console close event; shutting log-core down
[11:42:35] [INFO] received Windows console close event; shutting log-core down
[11:43:20] [INFO] received Windows console close event; shutting log-core down
[11:44:49] [INFO] received Windows console close event; shutting log-core down
[11:45:34] [INFO] received Windows console close event; shutting log-core down
[11:46:30] [INFO] received Windows console close event; shutting log-core down
[11:47:38] [INFO] received Windows console close event; shutting log-core down
[11:49:13] [INFO] received Windows console close event; shutting log-core down
[11:50:51] [INFO] received Windows console close event; shutting log-core down
[11:52:07] [INFO] received Windows console close event; shutting log-core down
[11:53:27] [INFO] received Windows console close event; shutting log-core down
[11:54:33] [INFO] received Windows console close event; shutting log-core down
[11:55:39] [INFO] received Windows console close event; shutting log-core down
[11:57:09] [INFO] received Windows console close event; shutting log-core down
[11:58:18] [INFO] received Windows console close event; shutting log-core down
[11:59:11] [INFO] received Windows console close event; shutting log-core down
[12:02:26] [INFO] received Windows console close event; shutting log-core down
[12:03:28] [INFO] received Windows console close event; shutting log-core down
[12:07:17] [INFO] received Windows console close event; shutting log-core down
[12:08:10] [INFO] received Windows console close event; shutting log-core down
[12:17:12] [INFO] received Windows console close event; shutting log-core down
[12:19:19] [INFO] received Windows console close event; shutting log-core down
[12:20:40] [INFO] received Windows console close event; shutting log-core down
[12:22:02] [INFO] received Windows console close event; shutting log-core down
[12:24:44] [INFO] received Windows console close event; shutting log-core down
[12:41:17] [INFO] received Windows console close event; shutting log-core down
[12:45:15] [INFO] received Windows console close event; shutting log-core down
[17:34:31] [INFO] received Windows console close event; shutting log-core down
[18:51:51] [INFO] received Windows console close event; shutting log-core down
[18:52:40] [INFO] received Windows console close event; shutting log-core down
[18:55:00] [INFO] received Windows console close event; shutting log-core down
[18:56:54] [INFO] received Windows console close event; shutting log-core down
[18:58:41] [INFO] received Windows console close event; shutting log-core down
[18:58:41] [INFO] received Windows console close event; shutting log-core down
[18:59:28] [INFO] received Windows console close event; shutting log-core down
[19:04:43] [INFO] received Windows console close event; shutting log-core down
